epoch,train_loss,val_loss,val_dice,val_iou,lr
1,0.7051651299847246,0.3206927548162639,0.8764196056872606,0.7933145202696323,0.000998458666866564
2,0.20518253648309345,0.15882523055188358,0.9069959577172995,0.8402856420725584,0.0009938441702975688
3,0.1330530023052229,0.1583761654328555,0.9009593334048986,0.8324465118348598,0.0009861849601988382
4,0.12066832823917199,0.10676179337315261,0.9298352468758821,0.8712824936956167,0.0009755282581475767
5,0.10025066571636787,0.10721351206302643,0.9294516518712044,0.8727244436740875,0.0009619397662556432
6,0.10040031670111615,0.10020755091682076,0.9329523630440235,0.8791158199310303,0.0009455032620941838
7,0.09004099923075658,0.10572858713567257,0.9283827487379313,0.8728283829987049,0.000926320082177046
8,0.08865668617577349,0.09210221166722476,0.9379491861909628,0.8853514175862074,0.0009045084971874736
9,0.08455973838884119,0.09642715845257044,0.9342580512166023,0.8819376714527607,0.0008802029828000154
10,0.08158834116153807,0.10475229483563453,0.9306353963911533,0.8738672472536564,0.0008535533905932736
11,0.07809100427192535,0.08988035237416625,0.9383705202490091,0.8891724720597267,0.0008247240241650918
12,0.0828506342395787,0.10922064282931387,0.929214458912611,0.8716344516724348,0.0007938926261462365
13,0.08454937787982525,0.09513308294117451,0.9350865911692381,0.881226385012269,0.0007612492823579742
14,0.07698580221895358,0.08562994818203151,0.9417733903974295,0.892359146848321,0.0007269952498697732
15,0.07487858688873703,0.08653307647909969,0.9409523829817772,0.8910324070602655,0.0006913417161825447
16,0.07374605356375753,0.08954729977995157,0.9392369668930769,0.8886025901883841,0.0006545084971874736
17,0.07177980088792141,0.0931248381966725,0.9381004646420479,0.8861646093428135,0.0006167226819279527
18,0.07091292641809767,0.08483180799521506,0.9422995448112488,0.8933996614068747,0.0005782172325201154
19,0.06919648323508236,0.0860190826933831,0.9415345247834921,0.8916645366698503,0.0005392295478639224
20,0.07254076321825596,0.08753642975352705,0.9392414279282093,0.8903005011379719,0.0004999999999999999
21,0.06856165776885516,0.09050707402639091,0.9380657728761435,0.8867097292095423,0.0004607704521360775
22,0.06659864537170714,0.09048288967460394,0.9370075594633818,0.8885370343923569,0.0004217827674798846
23,0.0659955679770047,0.08843551715835929,0.9395495411008596,0.8895344156771898,0.0003832773180720472
24,0.06474348734975992,0.08072624634951353,0.9446427170187235,0.8973748777061701,0.0003454915028125262
25,0.06425278995768718,0.08798671257682145,0.9415051117539406,0.8919366840273142,0.00030865828381745506
26,0.06497615574024865,0.08015584177337587,0.9453659635037184,0.8987128678709269,0.0002730047501302265
27,0.06349061876182308,0.08224757062271237,0.9440037775784731,0.896451260894537,0.0002387507176420255
28,0.06256089963336692,0.08745544729754329,0.940505750477314,0.8911087866872549,0.0002061073738537634
29,0.06043851721625757,0.0820577348349616,0.9439918864518404,0.8961133509874344,0.00017527597583490815
30,0.05872793728706396,0.07892164983786643,0.946318605914712,0.9001366887241602,0.0001464466094067262
31,0.058069492809439155,0.0801449908176437,0.9452523104846478,0.8982875309884548,0.00011979701719998454
32,0.05678502532048813,0.08189061493612826,0.9443145040422678,0.8969988841563463,9.549150281252629e-05
33,0.0562350706890296,0.07998724235221744,0.9454034082591534,0.8989943210035563,7.367991782295388e-05
34,0.055577703809003697,0.07982488418929279,0.9454639386385679,0.8986564427614212,5.449673790581608e-05
35,0.0551753910832213,0.0798533302731812,0.945668812841177,0.8993080127984285,3.806023374435661e-05
36,0.05445191664930203,0.08012424514163285,0.9455085154622793,0.899175364524126,2.447174185242322e-05
37,0.053861190586999695,0.08063071081414819,0.9452644716948271,0.8987610191106796,1.3815039801161714e-05
38,0.05349702105561704,0.07968485890887678,0.9456523116678,0.899354811757803,6.155829702431168e-06
39,0.05355332770618782,0.0800948484102264,0.9456149935722351,0.8992895893752575,1.5413331334360176e-06
40,0.05349304804234143,0.07990754768252373,0.945585273206234,0.8992363661527634,0.0
