axis,intensity,pipeline,eer,far_at_eer,frr_at_eer,n_genuine,n_impostor
illumination,0.4,baseline_cnn,0.35,0.35,0.35,300,300
illumination,0.4,strip_cnn,0.38666666666666666,0.38666666666666666,0.38666666666666666,300,300
illumination,0.4,iriscode,0.3816666666666667,0.38,0.38333333333333336,300,300
specular,0.0,baseline_cnn,0.32666666666666666,0.32666666666666666,0.32666666666666666,300,300
specular,0.0,strip_cnn,0.38,0.38,0.38,300,300
specular,0.0,iriscode,0.385,0.38666666666666666,0.38333333333333336,300,300
specular,0.25,baseline_cnn,0.32666666666666666,0.32666666666666666,0.32666666666666666,300,300
specular,0.25,strip_cnn,0.37666666666666665,0.37666666666666665,0.37666666666666665,300,300
specular,0.25,iriscode,0.39166666666666666,0.39,0.3933333333333333,300,300
specular,0.5,baseline_cnn,0.32,0.32,0.32,300,300
specular,0.5,strip_cnn,0.3683333333333333,0.37,0.36666666666666664,300,300
specular,0.5,iriscode,0.3983333333333333,0.4,0.39666666666666667,300,300
specular,0.75,baseline_cnn,0.32,0.32,0.32,300,300
specular,0.75,strip_cnn,0.38,0.38,0.38,300,300
specular,0.75,iriscode,0.405,0.4066666666666667,0.4033333333333333,300,300
specular,1.0,baseline_cnn,0.32666666666666666,0.32666666666666666,0.32666666666666666,300,300
specular,1.0,strip_cnn,0.40166666666666667,0.4,0.4033333333333333,300,300
specular,1.0,iriscode,0.41500000000000004,0.4166666666666667,0.41333333333333333,300,300
off_angle,0.0,baseline_cnn,0.32666666666666666,0.32666666666666666,0.32666666666666666,300,300
off_angle,0.0,strip_cnn,0.38,0.38,0.38,300,300
off_angle,0.0,iriscode,0.385,0.38666666666666666,0.38333333333333336,300,300
off_angle,5.0,baseline_cnn,0.32666666666666666,0.32666666666666666,0.32666666666666666,300,300
off_angle,5.0,strip_cnn,0.3783333333333333,0.37666666666666665,0.38,300,300
off_angle,5.0,iriscode,0.3866666666666667,0.39,0.38333333333333336,300,300
off_angle,10.0,baseline_cnn,0.3233333333333333,0.3233333333333333,0.3233333333333333,300,300
off_angle,10.0,strip_cnn,0.37666666666666665,0.37666666666666665,0.37666666666666665,300,300
off_angle,10.0,iriscode,0.4,0.4033333333333333,0.39666666666666667,300,300
off_angle,20.0,baseline_cnn,0.32666666666666666,0.32666666666666666,0.32666666666666666,300,300
off_angle,20.0,strip_cnn,0.39166666666666666,0.3933333333333333,0.39,300,300
off_angle,20.0,iriscode,0.36333333333333334,0.36333333333333334,0.36333333333333334,300,300
off_angle,30.0,baseline_cnn,0.33499999999999996,0.33666666666666667,0.3333333333333333,300,300
off_angle,30.0,strip_cnn,0.38666666666666666,0.38666666666666666,0.38666666666666666,300,300
off_angle,30.0,iriscode,0.3933333333333333,0.3933333333333333,0.3933333333333333,300,300
